"Estado","TipoDelito","SubtipoDelito","Modalidad","BienJuridicoAfectado","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"Sinaloa","Homicidio","Homicidio culposo","No especificado","La vida y la Integridad corporal",0,2,1,0,0,0,0,0,0,0,0,0
"Sinaloa","Lesiones","Lesiones dolosas","Con arma de fuego","La vida y la Integridad corporal",12,14,13,10,19,14,10,14,17,12,10,14
"Sinaloa","Lesiones","Lesiones dolosas","Con arma blanca","La vida y la Integridad corporal",4,16,11,11,12,11,13,9,14,21,26,20
"Sinaloa","Lesiones","Lesiones dolosas","Con otro elemento","La vida y la Integridad corporal",120,138,160,97,130,141,134,147,150,157,164,172
"Sinaloa","Lesiones","Lesiones dolosas","No especificado","La vida y la Integridad corporal",27,13,16,17,15,17,21,32,32,25,42,29
"Sinaloa","Lesiones","Lesiones culposas","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,0,0,1,0,0,0,0,0
"Sinaloa","Lesiones","Lesiones culposas","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Sinaloa","Lesiones","Lesiones culposas","En accidente de tránsito","La vida y la Integridad corporal",74,64,44,24,32,38,31,48,52,37,62,67
"Sinaloa","Lesiones","Lesiones culposas","Con otro elemento","La vida y la Integridad corporal",1,2,1,1,0,1,0,0,1,0,1,4
"Sinaloa","Lesiones","Lesiones culposas","No especificado","La vida y la Integridad corporal",1,2,3,0,0,0,0,0,1,1,1,4
"Sinaloa","Feminicidio","Feminicidio","Con arma de fuego","La vida y la Integridad corporal",3,1,0,2,0,0,1,0,0,0,1,2
