"Estado","TipoDelito","SubtipoDelito","Modalidad","BienJuridicoAfectado","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"Tabasco","Lesiones","Lesiones culposas","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Lesiones","Lesiones culposas","En accidente de tránsito","La vida y la Integridad corporal",83,91,84,35,28,56,47,66,75,107,122,88
"Tabasco","Lesiones","Lesiones culposas","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Lesiones","Lesiones culposas","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Feminicidio","Feminicidio","Con arma de fuego","La vida y la Integridad corporal",0,1,0,1,0,0,0,0,0,0,0,0
"Tabasco","Feminicidio","Feminicidio","Con arma blanca","La vida y la Integridad corporal",1,0,0,0,1,1,2,2,1,0,1,0
"Tabasco","Feminicidio","Feminicidio","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,1,0,0,0
"Tabasco","Feminicidio","Feminicidio","No especificado","La vida y la Integridad corporal",0,1,0,1,0,0,0,0,0,0,1,0
"Tabasco","Aborto","Aborto","Aborto","La vida y la Integridad corporal",0,0,0,0,0,0,2,0,0,0,0,0
"Tabasco","Otros delitos que atentan contra la vida y la integridad corporal","Otros delitos que atentan contra la vida y la integridad corporal","Otros delitos que atentan contra la vida y la integridad corporal","La vida y la Integridad corporal",61,56,51,53,36,48,55,55,63,65,35,68
"Tabasco","Secuestro","Secuestro","Secuestro extorsivo","Libertad personal",6,5,2,0,3,1,2,3,2,2,1,5
"Tabasco","Secuestro","Secuestro","Secuestro con calidad de rehén","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Secuestro","Secuestro","Secuestro para causar daño","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Secuestro","Secuestro","Secuestro exprés","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Secuestro","Secuestro","Otro tipo de secuestros","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Tráfico de menores","Tráfico de menores","Tráfico de menores","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Rapto","Rapto","Rapto","Libertad personal",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Otros delitos que atentan contra la libertad personal","Otros delitos que atentan contra la libertad personal","Otros delitos que atentan contra la libertad personal","Libertad personal",57,40,39,20,15,34,55,60,61,67,48,41
"Tabasco","Abuso sexual","Abuso sexual","Abuso sexual","La libertad y la seguridad sexual",16,18,27,8,2,9,9,11,18,14,11,17
"Tabasco","Acoso sexual","Acoso sexual","Acoso sexual","La libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0
"Tabasco","Hostigamiento sexual","Hostigamiento sexual","Hostigamiento sexual","La libertad y la seguridad sexual",17,27,34,3,9,16,18,23,19,24,19,12
